iter	RMSE
0	260698.6501
1	245752.0251
2	230450.4965
3	217739.0596
4	205007.9917
5	195699.6716
6	186107.3833
7	177502.5716
8	168405.3459
9	160397.6618
10	152863.9725
11	147524.2411
12	141341.5201
13	134866.9243
14	129768.6354
15	125252.071
16	121510.7289
17	117994.1115
18	114393.4188
19	111766.6453
20	109019.0034
21	106047.9786
22	103627.4425
23	101337.1002
24	98827.44273
25	96770.54097
26	94899.29227
27	93312.97818
28	91873.1262
29	90353.60964
30	89442.66545
31	88342.45822
32	87712.20101
33	86874.00779
34	86039.69989
35	85000.1073
36	84366.64581
37	83645.2181
38	82727.76406
39	81958.30748
40	81438.91937
41	80994.73006
42	80364.10797
43	79889.87781
44	79325.53043
45	79065.69079
46	78527.45981
47	78252.55059
48	78027.8838
49	77573.88176
50	77254.04479
51	77009.59751
52	76690.62216
53	76258.4852
54	75928.27663
55	75716.43083
56	75558.57043
57	75421.90662
58	75183.54579
59	74897.97199
60	74748.3318
61	74655.8618
62	74232.35867
63	74126.67788
64	73892.77242
65	73790.20477
66	73555.54252
67	73469.48739
68	73358.2069
69	73230.14603
70	73142.35063
71	72844.25593
72	72604.95144
73	71964.27158
74	71804.343
75	71466.44357
76	71289.84539
77	71031.73541
78	70950.58038
79	70746.12354
80	70579.59411
81	70476.69601
82	70326.05103
83	70247.22023
84	70155.04355
85	70117.1831
86	69923.14475
87	69670.83138
88	69421.61468
89	69234.62272
90	69159.66303
91	68928.65363
92	68768.95224
93	68694.2013
94	68482.75129
95	68270.07832
96	68084.69066
97	67663.91936
98	67500.4282
99	67070.18806
100	66923.88189
101	66723.37103
102	66660.79069
103	66452.08281
104	66287.61108
105	65947.95448
106	65792.95156
107	65726.30665
108	65662.48748
109	65313.35589
110	65224.49395
111	65166.17886
112	64869.80965
113	64689.867
114	64461.15083
115	64405.17818
116	64094.17855
117	63973.51116
118	63767.82843
119	63582.06092
120	63400.57635
121	63228.29843
122	63174.20921
123	63089.42327
124	62983.12578
125	62931.19086
126	62877.82943
127	62828.47028
128	62728.52009
129	62681.49459
130	62574.00636
131	62471.00581
132	62426.35577
133	62286.69183
134	62244.51931
135	62160.03819
136	61976.28922
137	61936.08387
138	61897.90089
139	61717.90102
140	61681.55398
141	61550.19286
142	61427.13238
143	61268.28282
144	61183.63132
145	61068.39754
146	61027.37265
147	60992.61925
148	60896.88105
149	60863.62115
150	60747.3834
151	60643.34927
152	60611.90179
153	60526.11684
154	60442.60466
155	60348.69192
156	60246.51243
157	60216.19617
158	60151.12037
159	59964.11018
160	59798.95648
161	59699.39098
162	59617.13221
163	59590.41945
164	59452.99159
165	59415.90416
166	59285.68884
167	59200.41868
168	59174.95632
169	59114.23249
170	58904.62913
171	58873.98597
172	58732.85281
173	58708.01687
174	58652.17032
175	58586.56592
176	58535.74963
177	58401.13371
178	58245.27433
179	58183.04628
180	58084.21115
181	57906.63163
182	57859.20133
183	57765.44994
184	57635.29712
185	57612.22029
186	57586.77543
187	57412.14572
188	57389.88273
189	57368.74975
190	57240.73811
191	57138.36222
192	57118.2329
193	57003.62174
194	56984.46424
195	56958.08485
196	56875.77775
197	56806.41575
198	56781.57412
199	56648.9559
200	56630.65161
201	56584.7464
202	56567.33036
203	56497.64079
204	56410.21982
205	56400.57592
206	56320.39771
207	56303.75916
208	56245.60038
209	56170.36974
210	56099.60556
211	56083.84943
212	56017.27318
213	55954.58101
214	55895.51844
215	55758.12929
216	55681.43727
217	55642.24827
218	55621.10848
219	55607.02203
220	55551.4019
221	55498.96364
222	55379.29839
223	55340.13404
224	55321.11662
225	55191.19977
226	55081.38499
227	55059.55673
228	54967.52707
229	54954.5121
230	54874.25059
231	54778.75237
232	54681.30289
233	54590.02898
234	54522.25969
235	54500.6857
236	54378.40578
237	54290.13484
238	54254.49051
239	54189.54973
240	54077.27678
241	53995.09493
242	53983.21125
243	53903.76335
244	53827.21674
245	53793.37414
246	53755.35711
247	53696.01645
248	53622.07152
249	53583.10398
250	53487.86798
251	53398.05015
252	53355.50099
253	53293.87786
254	53276.86061
255	53234.31272
256	53206.46655
257	53144.96685
258	53016.91257
259	52998.05058
260	52909.50356
261	52851.00605
262	52779.16741
263	52713.56865
264	52651.7691
265	52571.67839
266	52517.78161
267	52449.22212
268	52419.84731
269	52368.87352
270	52343.10929
271	52287.23183
272	52236.02591
273	52213.99655
274	52198.59918
275	52170.87502
276	52094.98824
277	52052.26656
278	52006.85541
279	51957.05152
280	51902.32857
281	51855.41118
282	51813.61782
283	51768.4142
284	51657.21311
285	51623.12
286	51613.23394
287	51607.3378
288	51582.37534
289	51520.84257
290	51441.53777
291	51432.37409
292	51378.87717
293	51325.30744
294	51312.66585
295	51231.63891
296	51196.97066
297	51152.77184
298	51117.41278
299	51057.46653
300	51045.95416
301	50960.25395
302	50949.84565
303	50895.57055
304	50817.35424
305	50760.9593
306	50676.04503
307	50623.87706
308	50581.28229
309	50475.33015
310	50421.02144
311	50359.76367
312	50335.65995
313	50279.80294
314	50229.17407
315	50173.15416
316	50132.45229
317	50088.88778
318	50067.91637
319	50015.81327
320	49973.11341
321	49935.67147
322	49887.94192
323	49797.40699
324	49716.18108
325	49666.5228
326	49642.08357
327	49590.12873
328	49538.1977
329	49492.94872
330	49452.59682
331	49426.61034
332	49384.30162
333	49338.54571
334	49267.45957
335	49216.29758
336	49175.05372
337	49139.89479
338	49123.04179
339	49067.38053
340	49005.82952
341	48937.84049
342	48901.9231
343	48826.93106
344	48806.78506
345	48755.84771
346	48736.44208
347	48687.18387
348	48661.2605
349	48616.62892
350	48556.34443
351	48497.97479
352	48440.22371
353	48375.15434
354	48338.16577
355	48296.92689
356	48266.31144
357	48249.62054
358	48215.70114
359	48183.76675
360	48152.14234
361	48130.49992
362	48115.83943
363	48072.34431
364	48029.31131
365	48020.96056
366	47972.2772
367	47922.93268
368	47875.32355
369	47826.54615
370	47785.18715
371	47742.99212
372	47697.0799
373	47669.52621
374	47651.52271
375	47604.29668
376	47573.98933
377	47542.40353
378	47505.12262
379	47472.71644
380	47450.22854
381	47396.66499
382	47329.79335
383	47294.91878
384	47249.28884
385	47236.10838
386	47198.43714
387	47186.40345
388	47175.5044
389	47146.63955
390	47112.43993
391	47087.80507
392	47049.22814
393	47004.06988
394	46981.93492
395	46913.19176
396	46887.05142
397	46855.03542
398	46841.93709
399	46794.16993
400	46768.83265
401	46757.10822
402	46734.5501
403	46660.74543
404	46649.50497
405	46613.95984
406	46594.59535
407	46555.57948
408	46503.87236
409	46466.29079
410	46432.74217
411	46376.89492
412	46333.55513
413	46268.80511
414	46191.51679
415	46165.24657
416	46129.75207
417	46107.84297
418	46093.03791
419	46065.57454
420	46030.04243
421	46019.8746
422	45983.57293
423	45946.86209
424	45929.65446
425	45907.74529
426	45887.15535
427	45857.18924
428	45839.51864
429	45808.93888
430	45771.457
431	45759.82769
432	45718.16528
433	45674.1971
434	45655.05913
435	45616.26302
436	45579.74505
437	45538.84415
438	45520.87036
439	45502.6165
440	45479.62741
441	45474.83739
442	45446.18422
443	45432.41364
444	45371.02815
445	45348.25755
446	45300.12586
447	45277.83529
448	45264.19555
449	45225.15353
450	45177.72657
451	45150.56378
452	45132.79507
453	45109.51801
454	45079.06641
455	45053.1723
456	45017.48359
457	44957.93994
458	44926.64843
459	44910.92983
460	44866.63898
461	44834.15099
462	44799.60233
463	44771.10858
464	44759.15596
465	44735.45516
466	44713.51141
467	44687.50383
468	44671.14566
469	44668.27545
470	44655.36306
471	44631.39898
472	44605.45318
473	44559.31251
474	44534.97051
475	44477.17581
476	44462.03161
477	44433.41366
478	44413.09201
479	44384.18189
480	44377.34686
481	44330.65159
482	44315.51721
483	44283.22739
484	44239.10537
485	44220.98772
486	44198.65918
487	44164.41202
488	44137.22936
489	44128.0696
490	44083.46431
491	44064.24103
492	44049.56766
493	44040.99615
494	44023.49685
495	44021.99683
496	43992.25902
497	43963.03045
498	43931.6511
499	43913.77166
