Room,Area,Floor,Prices,Address,Longitude,Latitude
3 otaqlı,90 m²,11,124 500,Xalqlar Dostluğu m. Baku,49.95319000000006,40.39686000000006
6 otaqlı,213.7 m²,13,360 000,28 May m. Baku,49.943378301649275,40.47126854785195
2 otaqlı,48.9 m²,9,81 975,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
2 otaqlı,79.5 m²,8,107 325,7-ci mikrorayon q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,117.8 m²,1,200 311,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
1 otaqlı,48.9 m²,1,78 793,Yasamal r. Baku,49.80747000000008,40.381530000000055
1 otaqlı,54.5 m²,4,119 900,Nəsimi r. Baku,49.83251000000007,40.39419000000004
4 otaqlı,146.3 m²,10,197 464,Bakı Baku,49.87222000000003,40.410660000000064
3 otaqlı,80 m²,6,106 000,Həzi Aslanov m. Baku,49.932322777729446,40.37142935945017
3 otaqlı,70 m²,10,106 000,Həzi Aslanov m. Baku,49.932322777729446,40.37142935945017
2 otaqlı,60 m²,12,65 000,Xırdalan Baku,49.755250000000046,40.46255000000008
2 otaqlı,68 m²,8,169 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,130 m²,2,215 000,Gənclik m. Baku,49.970096459341576,40.40867649330784
2 otaqlı,98 m²,2,98 000,Xırdalan Baku,49.755250000000046,40.46255000000008
2 otaqlı,73.2 m²,7,132 000,Əhmədli m. Baku,49.941790000000026,40.38512000000003
3 otaqlı,80 m²,7,99 000,Xırdalan Baku,49.755250000000046,40.46255000000008
2 otaqlı,45 m²,4,48 000,Əhmədli q. Baku,49.941790000000026,40.38512000000003
3 otaqlı,70 m²,9,120 000,Sahil m. Baku,49.570710000000076,40.222380000000044
3 otaqlı,75 m²,5,136 000,Əhmədli m. Baku,49.941790000000026,40.38512000000003
2 otaqlı,72 m²,3,85 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
3 otaqlı,75 m²,17,125 000,Bakıxanov q. Baku,49.95330000000007,40.43198000000007
2 otaqlı,50 m²,2,73 500,Köhnə Günəşli q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,65 m²,8,157 000,Yasamal q. Baku,49.80747000000008,40.381530000000055
3 otaqlı,155 m²,1,196 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
4 otaqlı,245 m²,16,299 900,Gənclik m. Baku,49.970096459341576,40.40867649330784
